YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,3678,-167.7,57.7,33,2
1994,3678,-167.7,57.7,37,3
1994,3684,-167.1,57.7,15,1
1994,3684,-167.1,57.7,36,3
1994,3684,-167.1,57.7,43,3
1994,3684,-167.1,57.7,53,4
1994,3690,-166.5,57.7,12,1
1994,3690,-166.5,57.7,37,3
1994,3690,-166.5,57.7,40,3
1994,3690,-166.5,57.7,66,6
1994,3696,-165.9,57.7,17,1
1994,3696,-165.9,57.7,17,1
1994,3696,-165.9,57.7,19,1
1994,3696,-165.9,57.7,31,2
1994,3702,-165.3,57.7,15,1
1994,3702,-165.3,57.7,30,2
1994,3702,-165.3,57.7,30,2
1994,3702,-165.3,57.7,73,7
1994,3715,-164,57.7,26,2
1994,3715,-164,57.7,51,5
1994,3715,-164,57.7,51,5
1994,3715,-164,57.7,62,5
1994,3721,-163.4,57.7,14,1
1994,3721,-163.4,57.7,21,1
1994,3721,-163.4,57.7,24,2
1994,3721,-163.4,57.7,70,8
1994,3734,-162.1,57.7,13,1
1994,3734,-162.1,57.7,24,1
1994,3734,-162.1,57.7,25,1
1994,3734,-162.1,57.7,69,8
1994,3746,-160.9,57.7,14,1
1994,3746,-160.9,57.7,18,1
1994,3746,-160.9,57.7,22,2
1994,3746,-160.9,57.7,33,3
1994,3752,-160.3,57.7,11,1
1994,3752,-160.3,57.7,18,1
1994,3752,-160.3,57.7,18,1
1994,3752,-160.3,57.7,22,1
1994,3759,-159.6,57.7,8,1
1994,3759,-159.6,57.7,16,1
1994,3759,-159.6,57.7,17,1
1994,3759,-159.6,57.7,55,6
1994,3765,-159,57.7,10,1
1994,3765,-159,57.7,12,1
1994,3765,-159,57.7,18,1
1994,3765,-159,57.7,20,1
1994,3771,-158.4,57.7,31,2
1994,3771,-158.4,57.7,42,4
1994,3771,-158.4,57.7,44,5
1994,3771,-158.4,57.7,48,4
1994,4144,-173.5,58,20,1
1994,4144,-173.5,58,22,1
1994,4144,-173.5,58,23,1
1994,4144,-173.5,58,25,1
1994,4151,-172.8,58,21,1
1994,4151,-172.8,58,23,1
1994,4151,-172.8,58,72,7
1994,4151,-172.8,58,73,6
1994,4157,-172.2,58,17,1
1994,4157,-172.2,58,24,1
1994,4157,-172.2,58,25,1
1994,4157,-172.2,58,60,6
1994,4163,-171.6,58,24,1
1994,4163,-171.6,58,24,1
1994,4163,-171.6,58,41,2
1994,4163,-171.6,58,56,4
1994,4169,-171,58,20,1
1994,4169,-171,58,21,1
1994,4169,-171,58,22,1
1994,4169,-171,58,73,6
1994,4176,-170.3,58,19,1
1994,4176,-170.3,58,22,1
1994,4176,-170.3,58,29,1
1994,4176,-170.3,58,57,5
1994,4182,-169.7,58,14,1
1994,4182,-169.7,58,14,1
1994,4182,-169.7,58,19,1
1994,4182,-169.7,58,22,1
1994,4188,-169.1,58,21,1
1994,4188,-169.1,58,25,1
1994,4188,-169.1,58,27,2
1994,4188,-169.1,58,36,2
1994,4201,-167.8,58,21,1
1994,4201,-167.8,58,24,1
1994,4201,-167.8,58,32,2
1994,4201,-167.8,58,46,3
1994,4207,-167.2,58,20,1
1994,4207,-167.2,58,20,1
1994,4207,-167.2,58,30,2
1994,4207,-167.2,58,51,5
1994,4214,-166.5,58,19,1
1994,4214,-166.5,58,35,3
1994,4214,-166.5,58,46,3
1994,4214,-166.5,58,55,5
1994,4220,-165.9,58,18,1
1994,4220,-165.9,58,18,1
1994,4220,-165.9,58,33,3
1994,4220,-165.9,58,90,9
1994,4226,-165.3,58,22,1
1994,4226,-165.3,58,23,1
1994,4226,-165.3,58,34,2
